Source,Target,Type,Relation
217,99,Directed,is
229,222,Directed,identify
9,198,Directed,acquired motors for
18,101,Directed,is created for
226,168,Directed,subsequently also devised
229,121,Directed,can now determine
203,133,Directed,is available to
226,193,Directed,reach
291,28,Directed,control qubits with
251,120,Directed,opens gate to
226,68,Directed,have achieved
226,200,Directed,directed
248,0,Directed,combines
276,47,Directed,was producing
38,41,Directed,typically works with
290,126,Directed,are proving
120,257,Directed,have
31,118,Directed,adds
220,260,Directed,create
291,96,Directed,build quantum computers with
120,263,Directed,take
226,32,Directed,build
142,70,Directed,could make
120,211,Directed,would work alongside
287,26,Directed,is looking at
177,171,Directed,loses
178,183,Directed,bragged about
89,29,Directed,adds
107,123,Directed,bring speedbumps controller considerations for
228,273,Directed,has
251,195,Directed,can control
37,187,Directed,create
49,114,Directed,will allow
294,105,Directed,yield
85,172,Directed,is in
39,125,Directed,delivering
21,6,Directed,confirms
120,112,Directed,beat
281,132,Directed,is at
289,208,Directed,are held in
152,117,Directed,extends
226,238,Directed,constructed
216,165,Directed,were preserved despite
226,100,Directed,fabricated quantum dot devices in
1,225,Directed,brings
285,25,Directed,is testing for
120,196,Directed,can read
226,288,Directed,applied
229,53,Directed,have implemented
226,139,Directed,control
229,239,Directed,identify
19,277,Directed,reduces
180,207,Directed,is creating
249,87,Directed,offer
203,90,Directed,may revolutionize
281,156,Directed,announced
116,241,Directed,require
199,66,Directed,raises
191,46,Directed,unveiled robocar in
9,227,Directed,resumed
284,282,Directed,has cheat sheet for
120,71,Directed,use
206,150,Directed,is in
276,135,Directed,has
197,134,Directed,is with
151,268,Directed,would allow
247,214,Directed,consists of
157,88,Directed,is also part of
136,127,Directed,is housed at
155,128,Directed,introduces
185,192,Directed,develop
226,234,Directed,layered aluminum wires onto
138,64,Directed,are as
9,72,Directed,predicts
93,59,Directed,offer
176,245,Directed,are creating
44,252,Directed,announces
120,74,Directed,would work alongside
283,173,Directed,is
228,145,Directed,are developing
229,230,Directed,created
30,43,Directed,is crowded with
33,269,Directed,uses bits as
124,60,Directed,accounts for
147,256,Directed,envisions
226,86,Directed,have set
226,109,Directed,have developed
24,181,Directed,is candidate for
174,203,Directed,integrate
226,220,Directed,are experimenting
169,35,Directed,must prioritise
226,16,Directed,run algorithms on
291,149,Directed,have simulated
115,264,Directed,has
235,164,Directed,begin
138,158,Directed,can reliably store quantum information for
95,91,Directed,could have
226,160,Directed,can manipulate atom with
223,120,Directed,are still very powerful compared to
94,154,Directed,are
281,140,Directed,recommends approach beyond
274,82,Directed,set stage for
163,250,Directed,was fabricated on
61,45,Directed,are predicted
291,215,Directed,preserve
283,1,Directed,is
138,240,Directed,can exist in
291,237,Directed,have developed
291,7,Directed,demonstrate
107,190,Directed,bring speedbumps controller considerations for
276,255,Directed,is expanding into
209,51,Directed,is in
265,194,Directed,can lengthen quantum bit memory by
291,36,Directed,demonstrate
278,62,Directed,has established
235,97,Directed,endeavor
228,15,Directed,has recently announced
243,236,Directed,had already shown
233,92,Directed,enables
291,258,Directed,use quantum systems for
191,204,Directed,has invested
281,213,Directed,designed
58,170,Directed,leads
76,69,Directed,retains
75,143,Directed,are affected by
147,246,Directed,gives cloud access to
147,272,Directed,now has
122,131,Directed,is considered
203,275,Directed,will bring
119,67,Directed,similarly offers
242,23,Directed,creates
226,106,Directed,have demonstrated
226,52,Directed,understand
55,267,Directed,takes
102,146,Directed,pose
108,8,Directed,can transmit
166,280,Directed,is with
233,54,Directed,enables
130,34,Directed,releases
13,167,Directed,is generally considered
108,65,Directed,can transmit
162,224,Directed,will stack
148,232,Directed,are still working on
120,50,Directed,increase
141,293,Directed,was used as
226,244,Directed,are talking about
276,212,Directed,is creating ai chips for
10,20,Directed,is working with
226,271,Directed,further develop
120,186,Directed,deliver
147,253,Directed,sells use of its 17-qubit quantum computer over
226,42,Directed,confirmed
77,292,Directed,debuts control products at
55,4,Directed,has formed
2,27,Directed,found
291,22,Directed,use
5,79,Directed,consists of
229,103,Directed,get
120,81,Directed,can stop
203,98,Directed,was
191,110,Directed,is testing
291,129,Directed,adjusted
210,113,Directed,removing
226,205,Directed,ultimately allowing
73,125,Directed,are delivering
226,161,Directed,are combining power with
147,266,Directed,launched
14,11,Directed,uses bits as
281,159,Directed,has
218,231,Directed,bring robot operating system to
228,189,Directed,has reached
226,57,Directed,have created
17,179,Directed,is in
202,63,Directed,reveals
137,262,Directed,are using
188,59,Directed,offer
291,261,Directed,create
147,78,Directed,gives
97,12,Directed,is provider for
281,56,Directed,recommends
229,179,Directed,control states in
226,270,Directed,can manipulate
104,3,Directed,is in
291,84,Directed,have developed
228,259,Directed,have worked on
291,48,Directed,demonstrate
281,221,Directed,are currently allowing to
279,83,Directed,eliminate decoherence because of
281,40,Directed,is at
184,111,Directed,are
219,286,Directed,efficiently generates
120,254,Directed,are good at
229,144,Directed,have realized
80,153,Directed,generate amount to
278,201,Directed,has established
175,179,Directed,is in
120,182,Directed,concurrently perform
